Order,Wavelength,detector x,detector y,detector z,cfm2 x,cfm2 y,cfm1 azimuth,cfm1 elevation,cfm2 azimuth,cfm2 elevation,dfocusz
105,0.58641809,-35.39049592,7.09867196,10.0146,46.28297658,-12.73474329,32.81124844,-0.69768764,41.99307219,-1.18638953,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58549022,-35.2740164,-2.15534697,10.0146,46.66512654,0.58751475,32.79270687,0.03218217,42.05095965,0.08446119,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58456234,-35.12376215,-10.90821579,10.0146,46.97232408,13.23462804,32.77779631,0.72478343,42.09735526,1.28667622,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58363446,-34.94454557,-19.2409845,10.0146,47.21567612,25.26309492,32.7659811,1.38312334,42.13396963,2.43019497,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58270659,-34.74017554,-27.21616514,10.0146,47.40394681,36.71826907,32.75683804,2.00962777,42.16214647,3.52272441,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58177871,-34.51374062,-34.88314472,10.0146,47.544222,47.63659727,32.75002458,2.60625843,42.18296722,4.57038458,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.54077414,-45.53626875,14.16344619,10.0146,59.36889158,-23.13693613,32.17192357,-1.25789072,43.97216616,-2.21669593,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.53998699,-45.43745403,5.18696085,10.0146,59.76139332,-10.41987343,32.15260707,-0.56644315,44.03174987,-0.98461492,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.53919984,-45.31018952,-3.28901106,10.0146,60.08558083,1.6810851,32.1366464,0.09137255,44.08079965,0.17999552,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.53841268,-45.15850007,-11.34592591,10.0146,60.35154448,13.21816386,32.12354808,0.71830321,44.12088655,1.28707472,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.53762553,-44.98557152,-19.04636618,10.0146,60.56722638,24.23395808,32.1129233,1.31659747,44.15324076,2.34429805,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.53683838,-44.79398626,-26.43961948,10.0146,60.73903,34.76330586,32.10445825,1.88810293,44.17884934,3.3577402,-1.5 -1.0 -0.5 0.5 1.0 1.5
114,0.53605122,-44.58588062,-33.56530499,10.0146,60.87222577,44.83470995,32.0978944,2.43433993,44.19852078,4.33230738,-1.5 -1.0 -0.5 0.5 1.0 1.5
